Date,Time,UpperUS_Stage,US_Qinterp,US_QPowerFunc,UpperDS_Stage,Well.1,Well.1a,Well.2,Well.2b,Well.3,Well.3b
4/1/2018,17:00,904.337,3.985901,3.608445007,903.894,904.209,904.032887,904.037,903.9509422,903.956,903.880333
4/2/2018,17:00,904.336,3.966928,3.594898534,903.896,904.2,904.024479,904.029,903.9430438,903.946,903.872261
4/3/2018,17:00,904.328,3.815144,3.488341057,903.885,904.192,904.011867,904.017,903.9311962,903.934,903.860153
4/4/2018,17:00,904.31,3.47363,3.259989474,903.864,904.182,903.999255,904.005,903.9193485,903.922,903.848045
4/5/2018,17:00,904.302,3.321846,3.163356401,903.846,904.168,903.991898,903.998,903.9124374,903.914,903.840982
4/6/2018,17:00,904.296,3.208008,3.092765513,903.846,904.155,903.959317,903.967,903.881831,903.888,903.809703
4/7/2018,17:00,904.289,3.0760859,3.012397367,903.836,904.149,903.947756,903.956,903.8709707,903.918196,903.798604
4/8/2018,17:00,904.277,2.9667287,2.879450725,903.82,904.129,903.924634,903.934,903.84925,903.895294,903.776406
4/9/2018,17:00,904.278,2.9758418,2.890301922,903.835,904.13,903.910971,903.921,903.8364151,903.881761,903.763289
4/10/2018,17:00,904.284,3.0305204,2.956273004,903.837,904.136,903.904665,903.915,903.8304912,903.875515,903.757235
4/11/2018,17:00,904.275,2.9485025,2.857870361,903.821,904.127,903.893104,903.904,903.8196309,903.864064,903.746136
4/12/2018,17:00,904.273,2.9302763,2.836451686,903.818,904.122,903.889951,903.901,903.816669,903.860941,903.743109
4/13/2018,17:00,904.272,2.9211632,2.825802603,903.818,904.119,903.892053,903.903,903.8186436,903.863023,903.745127
4/14/2018,17:00,904.286,3.0487466,2.978596203,903.842,904.137,903.905716,903.916,903.8314785,903.876556,903.758244
4/15/2018,17:00,904.292,3.1034252,3.046581992,903.838,904.133,903.900461,903.911,903.826542,903.871351,903.753199
4/16/2018,17:00,904.291,3.0943121,3.035144243,903.835,904.13,903.893104,903.904,903.8196309,903.864064,903.746136
4/17/2018,17:00,904.267,2.8755977,2.77315373,903.815,904.119,903.880492,903.892,903.8077833,903.851572,903.734028
4/18/2018,17:00,904.274,2.9393894,2.847140888,903.818,904.123,903.881543,903.893,903.8087706,903.852613,903.735037
4/19/2018,17:00,904.27,2.902937,2.804624194,903.813,904.119,903.881543,903.893,903.8087706,903.852613,903.735037
4/20/2018,17:00,904.295,3.1307645,3.081154429,903.842,904.138,903.908869,903.919,903.8344405,903.879679,903.761271
4/21/2018,17:00,904.296,3.208008,3.092765513,903.85,904.142,903.892053,903.903,903.8186436,903.863023,903.745127
4/22/2018,17:00,904.286,3.0487466,2.978596203,903.833,904.124,903.862625,903.875,903.7909991,903.833875,903.716875
4/23/2018,17:00,904.281,3.0031811,2.923101412,903.833,904.118,903.84686,903.86,903.7761896,903.81826,903.70174
